idx,wn_id,labels,parent_wn_id,parent_labels,children_wn_ids,children_labels,depth,description,class_id,simplified,keras,coarse-grained
0,n00001740,['entity'],,[],"['n00002137', 'n00001930', 'n04424418']","[['abstraction', 'abstract_entity'], ['physical_entity'], ['thing']]",0,that which is perceived or known or inferred to have its own distinct existence (living or nonliving),-1,,,
1,n00001930,['physical_entity'],n00001740,['entity'],"['n00007347', 'n00020827', 'n00002684', 'n00029677', 'n14580597', 'n00002452']","[['causal_agent', 'cause', 'causal_agency'], ['matter'], ['object', 'physical_object'], ['process', 'physical_process'], ['substance'], ['thing']]",1,an entity that has physical existence,-1,,,
2,n00002137,"['abstraction', 'abstract_entity']",n00001740,['entity'],"['n00024264', 'n00033020', 'n00031264', 'n00033615', 'n05810143', 'n00023100', 'n00031921', 'n07999699']","[['attribute'], ['communication'], ['group', 'grouping'], ['measure', 'quantity', 'amount'], ['otherworld'], ['psychological_feature'], ['relation'], ['set']]",1,a general concept formed by extracting common features from specific examples,-1,,,
3,n04424418,['thing'],n00001740,['entity'],"['n03005920', 'n03395745', 'n03537866', 'n03599212', 'n03870461', 'n04165811', 'n04320731', 'n04574234']","[['change'], ['freshener'], ['horror'], ['jimdandy', 'jimhickey', 'crackerjack'], ['pacifier'], ['security_blanket'], ['stinker'], ['whacker', 'whopper']]",1,an entity that is not named specifically,-1,,,
4,n00029677,"['process', 'physical_process']",n00001930,['physical_entity'],"['n13445972', 'n13455906', 'n13458571', 'n13460299', 'n13464820', 'n13471206', 'n13474495', 'n13477462', 'n13493998', 'n13497135', 'n13497928', 'n13503226', 'n13504173', 'n13503908', 'n13518963', 'n13525549', 'n13526110', 'n00034213', 'n13536794', 'n13541167', 'n13551617', 'n13554343', 'n13555446', 'n13572324']","[['chelation'], ['dealignment'], ['decrease', 'decrement'], ['degeneration', 'devolution'], ['development', 'evolution'], ['economic_process'], ['encapsulation'], ['execution', 'instruction_execution'], ['human_process'], ['increase', 'increment', 'growth'], ['industrial_process'], ['irreversible_process'], ['iteration', 'loop'], ['iteration', 'looping'], ['natural_process', 'natural_action', 'action', 'activity'], ['operation', 'functioning', 'performance'], ['organic_process', 'biological_process'], ['phenomenon'], ['photography'], ['processing'], ['reversible_process'], ['sensitization', 'sensitisation'], ['shaping', 'defining'], ['variation']]",2,a sustained phenomenon or one marked by gradual changes through a series of states,-1,,,
5,n00002684,"['object', 'physical_object']",n00001930,['physical_entity'],"['n09238143', 'n03009633', 'n09251689', 'n03149951', 'n09267490', 'n03233423', 'n03338648', 'n09279458', 'n09281777', 'n09283193', 'n09287968', 'n09295338', 'n09300905', 'n09302031', 'n03532080', 'n09308398', 'n03595179', 'n03610270', 'n09335240', 'n09334396', 'n00027167', 'n03714721', 'n09358550', 'n09368224', 'n07851054', 'n03892891', 'n04012260', 'n09407346', 'n09409203', 'n09432990', 'n04248010', 'n04345288', 'n04486445', 'n09468237', 'n09474162', 'n09477037', 'n00003553']","[['catch'], ['charm', 'good_luck_charm'], ['commemorative'], ['curio', 'curiosity', 'oddity', 'oddment', 'peculiarity', 'rarity'], ['discard'], ['draw', 'lot'], ['film'], ['finding'], ['floater'], ['fomite', 'vehicle'], ['geological_formation', 'formation'], ['growth'], ['hail'], ['head'], ['hoodoo'], ['ice'], ['je_ne_sais_quoi'], ['keepsake', 'souvenir', 'token', 'relic'], ['land', 'ground', 'soil'], ['land', 'dry_land', 'earth', 'ground', 'solid_ground', 'terra_firma'], ['location'], ['makeweight', 'filler'], ['moon'], ['neighbor', 'neighbour'], ['paring'], ['part', 'portion'], ['property', 'prop'], ['remains'], ['ribbon', 'thread'], ['shiner'], ['snake'], ['stuff'], ['triviality', 'trivia', 'trifle', 'small_beer'], ['vagabond'], ['wall'], ['web'], ['whole', 'unit']]",2,a tangible and visible entity; an entity that can cast a shadow,-1,,,
6,n00007347,"['causal_agent', 'cause', 'causal_agency']",n00001930,['physical_entity'],"['n09190918', 'n14778436', 'n09900711', 'n14540564', 'n14541044', 'n09504915', 'n10009926', 'n11417561', 'n09504603', 'n09503682', 'n10378412', 'n00007846', 'n10461424', 'n09503877', 'n09504464', 'n10757918']","[['agent'], ['agent'], ['catalyst'], ['cause_of_death', 'killer'], ['danger'], ['destiny', 'fate'], ['deus_ex_machina'], ['engine'], ['first_cause', 'prime_mover', 'primum_mobile'], ['nature'], ['operator', 'manipulator'], ['person', 'individual', 'someone', 'somebody', 'mortal', 'soul'], ['power', 'force'], ['supernatural', 'occult'], ['theurgy'], ['vital_principle', 'life_principle']]",2,any entity that produces an effect or is responsible for events or results,-1,,,
7,n00031921,['relation'],n00002137,"['abstraction', 'abstract_entity']","['n13811410', 'n13782769', 'n13836841', 'n13780606', 'n13859043', 'n13853808', 'n13791389', 'n13827205', 'n13790712', 'n13781164', 'n13844212', 'n13812607', 'n13797142', 'n13783038', 'n13815152', 'n13783581', 'n13854649', 'n13240514', 'n13809207', 'n05074774', 'n00032613', 'n13841213', 'n13780719', 'n00032823', 'n13844690', 'n13794226']","[['affinity', 'kinship'], ['association'], ['business_relation'], ['causality'], ['change'], ['comparison'], ['connection', 'connexion', 'connectedness'], ['control'], ['foundation'], ['function'], ['interrelation', 'interrelationship', 'interrelatedness'], ['kinship', 'family_relationship', 'relationship'], ['linguistic_relation'], ['logical_relation'], ['magnitude_relation', 'quantitative_relation'], ['mathematical_relation'], ['opposition', 'oppositeness'], ['ownership'], ['part', 'portion', 'component_part', 'component', 'constituent'], ['position', 'spatial_relation'], ['possession'], ['reciprocality', 'reciprocity'], ['relationship', 'human_relationship'], ['social_relation'], ['temporal_relation'], ['unconnectedness']]",2,an abstraction belonging to or characteristic of two entities or parts together,-1,,,
8,n00033615,"['measure', 'quantity', 'amount']",n00002137,"['abstraction', 'abstract_entity']","['n13579829', 'n13576101', 'n13575869', 'n13576355', 'n13599547', 'n13579933', 'n15256915', 'n15180528', 'n05091770', 'n13780180', 'n05855517', 'n13731530', 'n13576982', 'n13577171', 'n15269513', 'n15154774', 'n13413493', 'n13779032', 'n13779244']","[['cordage'], ['definite_quantity'], ['fundamental_quantity', 'fundamental_measure'], ['indefinite_quantity'], ['magnetization', 'magnetisation'], ['octane_number', 'octane_rating'], ['playing_period', 'period_of_play', 'play'], ['point', 'point_in_time'], ['probability', 'chance'], ['proof'], ['quantum'], ['radical'], ['relative_quantity'], ['system_of_measurement', 'metric'], ['time_interval', 'interval'], ['time_unit', 'unit_of_time'], ['value', 'economic_value'], ['volume'], ['volume']]",2,how much there is or how many there are of something that you can quantify,-1,,,
9,n00031264,"['group', 'grouping']",n00002137,"['abstraction', 'abstract_entity']","['n14584110', 'n07938773', 'n07990377', 'n07941170', 'n08330514', 'n08160276', 'n07951464', 'n07941729', 'n07959393', 'n07959659', 'n07967382', 'n14904661', 'n07940448', 'n08180190', 'n07942152', 'n08178741', 'n07967982', 'n14624743', 'n08152657', 'n08458504', 'n07950920', 'n07939159', 'n08001083', 'n07996149', 'n08435388', 'n08306665', 'n02472987']","[['actinoid', 'actinide', 'actinon'], ['arrangement'], ['association'], ['biological_group'], ['circuit'], ['citizenry', 'people'], ['collection', 'aggregation', 'accumulation', 'assemblage'], ['community', 'biotic_community'], ['edition'], ['electron_shell'], ['ethnic_group', 'ethnos'], ['halogen'], ['kingdom'], ['multitude', 'masses', 'mass', 'hoi_polloi', 'people', 'the_great_unwashed'], ['people'], ['population'], ['race'], ['rare_earth', 'rare-earth_element', 'lanthanoid', 'lanthanide', 'lanthanon'], ['sainthood'], ['series'], ['social_group'], ['straggle'], ['subgroup'], ['swarm', 'cloud'], ['system', 'scheme'], ['varna'], ['world', 'human_race', 'humanity', 'humankind', 'human_beings', 'humans', 'mankind', 'man']]",2,any number of entities (members) considered as a unit,-1,,,
10,n00020827,['matter'],n00001930,['physical_entity'],"['n14582535', 'n14582220', 'n15109745', 'n14939445', 'n14583573', 'n15004501', 'n09428967', 'n14956661', 'n15046900', 'n15047849', 'n00019613', 'n00020090', 'n14981183', 'n15110956', 'n14582025']","[['antimatter'], ['dark_matter'], ['emanation'], ['fluid'], ['glop'], ['residue'], ['sediment', 'deposit'], ['sludge', 'slime', 'goo', 'goop', 'gook', 'guck', 'gunk', 'muck', 'ooze'], ['solid'], ['solute'], ['substance'], ['substance'], ['system'], ['vegetable_matter'], ['ylem']]",2,that which has mass and occupies space,-1,,,
11,n14580597,['substance'],n00001930,['physical_entity'],[],[],2,material of a particular kind or constitution,-1,,,
12,n00024264,['attribute'],n00002137,"['abstraction', 'abstract_entity']","['n04691992', 'n04616916', 'n04630689', 'n04617441', 'n05134353', 'n04723436', 'n04723286', 'n04615866', 'n04921011', 'n04617562', 'n04916342', 'n04723816', 'n00027807', 'n00028651', 'n00024720', 'n04617289', 'n00028270', 'n04616059', 'n04631298']","[['ballast'], ['character'], ['cheerfulness', 'cheer', 'sunniness', 'sunshine'], ['common_denominator'], ['depth'], ['eidos'], ['ethos'], ['human_nature'], ['inheritance', 'heritage'], ['personality'], ['property'], ['quality'], ['shape', 'form'], ['space', 'infinite'], ['state'], ['thing'], ['time'], ['trait'], ['uncheerfulness']]",2,an abstraction belonging to or characteristic of an entity,-1,,,
